name,platform
ZEN Pinball 2: Balls of Glory, PlayStation 4
The Denpa Men: They Came By Wave, 3DS
Traxxpad, PSP
Olija, PlayStation 4
Alien Hominid, GameCube
Othercide, PC
Relicta, Xbox One
Torchlight II, Xbox One
Hasbro Family Game Night: Yahtzee, Xbox 360
Detroit: Become Human, PlayStation 4
Tiger Woods PGA Tour, PSP
Broken Sword: Shadow of the Templars - The Director's Cut, DS
Layers of Fear, Xbox One
Back 4 Blood, PC
Baldur's Gate: Enhanced Edition, PC
Disgaea 3: Absence of Justice, PlayStation 3
DOOM 3: Resurrection of Evil, PC
LEGO Indiana Jones: The Original Adventures, PC
Yakuza 4, PlayStation 3
Cyber Shadow, PlayStation 4
GreedFall, Xbox One
Descenders, PC
EVERSPACE, PlayStation 4
Deathsmiles, PC
The Sims 3, PlayStation 3
Wade Hixton's Counter Punch, Game Boy Advance
Baldur's Gate: Dark Alliance II, PlayStation 2
NASCAR Thunder 2004, PC
Dave Mirra Freestyle BMX 3, Game Boy Advance
Contra: Shattered Soldier, PlayStation 2
Freekstyle, GameCube
Dynasty Warriors 3, PlayStation 2
Shadow of Destiny, PlayStation 2
Midnight Club: Street Racing, PlayStation 2
Swing Away Golf, PlayStation 2
Harvest Moon 64, Nintendo 64
Sphinx and the Cursed Mummy, PlayStation 2
Skylanders: Spyro's Adventure, Xbox 360
Lost Ember, PC
NHL 17, PlayStation 4
Madden NFL 12, Xbox 360
inFamous: Festival of Blood, PlayStation 3
A Way Out, PlayStation 4
The Sims 4: City Living, PC
Rock Band Blitz, PlayStation 3
Lost Odyssey, Xbox 360
Rez, PlayStation 2
Axiom Verge 2, PC
SNK vs. Capcom: Match of the Millennium, Switch
Klonoa 2: Dream Champ Tournament, Game Boy Advance
Golf Club: Wasteland, PC
Aokana - Four Rhythms Across the Blue, Switch
For Honor: Marching Fire, PlayStation 4
Death Road to Canada, PlayStation 4
Doki Doki Literature Club!, PC
Far Cry Instincts Evolution, Xbox
Fallout 4 VR, PC
Indivisible, PC
Transformers: Fall of Cybertron, PC
Gurumin: A Monstrous Adventure, PSP
Vanquish, PC
Octahedron: Transfixed Edition, Switch
Madden NFL 07, PSP
FIFA Soccer 06, PC
Yoshi's Woolly World, Wii U
Stellaris, PC
The House of the Dead: Overkill, Wii
The Jackbox Party Pack 5, Switch
Super Rude Bear Resurrection, PlayStation 4
Bomberman Land Touch!, DS
Big Bang Mini, DS
Mortal Kombat 11, Switch
Lost in Random, PlayStation 5
SIREN: Blood Curse, PlayStation 3
WWE '13, Xbox 360
Tell Me Why, Xbox One
Pro Evolution Soccer 2010, PlayStation 3
Hotel Dusk: Room 215, DS
Unbound: Worlds Apart, Switch
Adios, PC
Shady Part of Me, PlayStation 4
Budget Cuts, PlayStation 4
Ibb & Obb, Switch
Double Dragon & Kunio-kun Retro Brawler Bundle, Switch
Borderlands 3, PlayStation 4
King's Quest Chapter 5: The Good Knight, PlayStation 4
Prototype, Xbox 360
Project: Snowblind, PlayStation 2
Hyrule Warriors: Age of Calamity, Switch
The Thing, PlayStation 2
DeathSpank: Thongs of Virtue, Xbox 360
Hatsune Miku: Project Diva X, PlayStation 4
Granblue Fantasy: Versus, PlayStation 4
Atelier Lulua: The Scion of Arland, Switch
Alien: Isolation, Xbox One
DeadCore, PC
Conker: Live & Reloaded, Xbox
Castlevania: The Adventure ReBirth, Wii
The Walking Dead: Season Two Episode 5 - No Going Back, PC
MLB 2005, PlayStation 2
Neverwinter Nights: Shadows of Undrentide, PC
Knockout Kings 2003, GameCube
Duke Nukem: Manhattan Project, PC
Konami Collector's Series: Arcade Advanced, Game Boy Advance
Gradius Galaxies, Game Boy Advance
Tales of Destiny II, PlayStation
Metal Gear Solid: Snake Eater 3D, 3DS
Overcooked!, PlayStation 4
Marvel: Ultimate Alliance, PlayStation 3
Grand Kingdom, PlayStation 4
Dauntless, PC
Freedom Finger, Xbox One
Bridge Constructor Portal, PlayStation 4
Wuppo, PC
Joe Danger 2: The Movie, PlayStation 3
Robocalypse, DS
For Honor, PlayStation 4
The Disney Afternoon Collection, PC
Closure, PC
Dead Rising 2, PC
Insurgency: Sandstorm, PC
TumbleSeed, Switch
Rogue Heroes: Ruins of Tasos, Switch
Werewolf: The Apocalypse - Heart of the Forest, PC
SUPERHOT: MIND CONTROL DELETE, PC
The Walking Dead: The Telltale Series - The Final Season, Xbox One
Forgotton Anne, PlayStation 4
Call of Duty: Advanced Warfare, PC
MotorStorm RC, PlayStation Vita
AstroPop, Xbox 360
Dragon Quest VI: Realms of Revelation, DS
Theatrhythm Final Fantasy, 3DS
Teleglitch: Die More Edition, PC
Age of Empires: Mythologies, DS
Project Warlock, PC
Donkey Kong Country, Game Boy Advance
Immortals Fenyx Rising, Switch
Murder by Numbers, Switch
Football Manager 2021, Xbox Series X
Zero Escape: Zero Time Dilemma, PC
LEGO Marvel Super Heroes, PC
League of Legends, PC
Rabbids Go Home, Wii
"Warhammer 40,000: Mechanicus", PC
The Movies: Stunts & Effects, PC
Dragon Ball Z: Kakarot + A New Power Awakens Set, Switch
Observer, PC
Mobile Suit Gundam: Extreme VS. MaxiBoost ON, PlayStation 4
Golf Peaks, Switch
Deus Ex: Human Revolution - The Missing Link, PlayStation 3
Asphalt 4: Elite Racing, DS
Shaun White Snowboarding: Road Trip, Wii
Dynasty Warriors 4, PlayStation 2
Shox, PlayStation 2
Super Ghouls 'n Ghosts, Game Boy Advance
The Thing, Xbox
Tropico: Paradise Island, PC
NASCAR Heat 2002, Xbox
MechWarrior 4: Black Knight Expansion, PC
Cool Boarders 2001, PlayStation 2
Ridge Racer V, PlayStation 2
NFL Blitz 2001, Dreamcast
Apollo Justice: Ace Attorney, DS
The Surge 2, Xbox One
Curse of the Dead Gods, PC
Rune Factory: A Fantasy Harvest Moon, DS
The Tomb Raider Trilogy, PlayStation 3
1001 Spikes, PlayStation 4
The Walking Dead: 400 Days, PlayStation 3
Disney Guilty Party, Wii
FIFA 22, PlayStation 5
TOEM, PC
Atelier Ryza 2: Lost Legends & the Secret Fairy, PlayStation 5
Ace Combat 7: Skies Unknown, PC
Sairento VR, PC
Skylanders Imaginators, Xbox One
Warp, PlayStation 3
Wild Arms 3, PlayStation 2
Tales of Xillia, PlayStation 3
FIFA 22, Xbox Series X
Ken Follett's The Pillars of the Earth, PC
Shadow Warrior 2, Xbox One
Hatsune Miku: Project Diva F 2nd, PlayStation 3
Karaoke Revolution Party, PlayStation 2
The Adventures of Cookie & Cream, PlayStation 2
Visage, Xbox One
Swords & Soldiers HD, Wii U
Pro Evolution Soccer 2011, Wii
Tom Clancy's Rainbow Six: Vegas 2, PC
"Blast Works: Build, Trade, Destroy", Wii
In Other Waters, Switch
The Room VR: A Dark Matter, PC
LEGO Star Wars: The Force Awakens, PlayStation 4
Root Double: Before Crime * After Days - Xtend Edition, Switch
Yonder: The Cloud Catcher Chronicles, Xbox One
Arcade Spirits, PC
Musynx, Switch
Runner3, PC
Dungeon of the Endless, Xbox One
Blaster Master Zero, Switch
Unravel, PlayStation 4
Sonic & Sega All-Stars Racing, Wii
Blackwood Crossing, Xbox One
Candleman, Xbox One
Full Metal Furies, Switch
Fluidity: Spin Cycle, 3DS
Super Street Fighter IV: Arcade Edition, Xbox 360
Burnout Paradise Remastered, Switch
Arc the Lad Collection, PlayStation
Resident Evil: Revelations Collection, Switch
Battle Chasers: Nightwar, PC
FIFA Soccer 2005, GameCube
Tom Clancy's Splinter Cell Pandora Tomorrow, GameCube
Hitman: Contracts, Xbox
Puzzle Pirates, PC
The Lord of the Rings: The Return of the King, PC
Crimson Sea, Xbox
2002 FIFA World Cup, GameCube
Knockout Kings 2002, Xbox
Star Trek Starfleet Command: Orion Pirates, PC
CastleStorm, Switch
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One, Xbox One
Two Worlds II: Pirates of the Flying Fortress, PC
Part Time UFO, Switch
Battlefield V, Xbox One
Forager, Switch
Devil May Cry 4, PC
Breath of Fire: Dragon Quarter, PlayStation 2
The Procession to Calvary, PC
Soul Bubbles, DS
Praetorians, PC
Mario and Donkey Kong: Minis on the Move, 3DS
Naruto: Rise of a Ninja, Xbox 360
Sonic Rush Adventure, DS
Stealth Inc: A Clone in the Dark, PlayStation Vita
Not Tonight: Take Back Control Edition, Switch
Call of Duty Classic, PlayStation 3
Bust-A-Move Live!, Xbox 360
MLB 09: The Show, PSP
Blasphemous, PlayStation 4
The Persistence VR, PlayStation 4
Bejeweled 3, Xbox 360
Tiger Woods PGA Tour 07, PSP
Forma.8, PlayStation 4
Shin Megami Tensei: Persona, PSP
Toy Story 3, PlayStation 3
Call of Duty: Black Ops - First Strike, Xbox 360
Silent Hill: Origins, PSP
Sniper Elite 4, PC
Mutant Year Zero: Road to Eden, PC
Capcom Beat 'Em Up Bundle, Switch
EA Sports Active 2, PlayStation 3
Final Fantasy XIV Online: A Realm Reborn, PlayStation 3
Chime Super Deluxe, PlayStation 3
DeathSpank: Thongs of Virtue, PlayStation 3
Lost Planet: Extreme Condition Colonies Edition, Xbox 360
Chaos on Deponia, PC
Ashen, Xbox One
James Bond 007: NightFire, Xbox
"That Dragon, Cancer", PC
Lemnis Gate, PC
Curse of the Dead Gods, Switch
ALTDEUS: Beyond Chronos, PC
Haven, Xbox Series X
Spellbreak, Xbox One
Control: The Foundation, PlayStation 4
Green Hell, PC
Life is Strange 2: Episode 3 - Wastelands, PC
The Missing: JJ Macfield and the Island of Memories, PC
Mothergunship, PlayStation 4
Human Resource Machine, PC
Adventures of Pip, Wii U
OlliOlli, PC
Strider, PC
Dead Space 3, PC
Anno 1701: Dawn of Discovery, DS
Tomb Raider: Anniversary, PSP
Metal Gear Solid: Digital Graphic Novel, PSP
Condemned: Criminal Origins, PC
Blitz: The League, Xbox
Capcom Classics Collection, PlayStation 2
Shin Megami Tensei: Digital Devil Saga, PlayStation 2
Culdcept, PlayStation 2
MVP Baseball 2003, PC
Midtown Madness 2, PC
Need for Speed: Porsche Unleashed, PlayStation
The Wonderful 101, Wii U
Kingdom Under Fire: Heroes, Xbox
Fatal Frame III: The Tormented, PlayStation 2
Humankind, PC
WWE SmackDown vs. Raw 2009, PlayStation 3
Mario Golf: World Tour, 3DS
Street Fighter Anniversary Collection, PlayStation 2
New Play Control! Donkey Kong Jungle Beat, Wii
NHL 16, PlayStation 4
Rock Band 4, PlayStation 4
Karaoke Revolution Presents: American Idol, PlayStation 2
Crash Commando, PlayStation 3
Dragon's Dogma: Dark Arisen, PlayStation 4
Mushroom 11, PC
A Way Out, PC
Dragon's Dogma: Dark Arisen, Switch
MLB The Show 21, PlayStation 5
Killzone: Mercenary, PlayStation Vita
My Friend Pedro, Switch
WarioWare Gold, 3DS
Dragon's Dogma, PlayStation 3
Remnant: From the Ashes, PC
Tropico 4: Modern Times, PC
Don't Starve: Console Edition, PlayStation 4
NFL Blitz, Xbox 360
Call of Duty 2: Big Red One, Xbox
Shady Part of Me, PC
Super Monkey Ball Deluxe, PlayStation 2
Mega Man ZX Advent, DS
Taiko no Tatsujin: Drum 'n' Fun!, Switch
Shinsekai: Into the Depths, Switch
Sega Ages: Shinobi, Switch
Soul of Darkness, DS
Atelier Lulua: The Scion of Arland, PlayStation 4
Cosmic Star Heroine, Switch
Ken Follett's The Pillars of the Earth, Xbox One
Skullgirls, Xbox 360
NCAA March Madness 06, PlayStation 2
Ultimate Spider-Man, DS
Pit People, PC
Super Cloudbuilt, PlayStation 4
Brandish: The Dark Revenant, PSP
Burnout, GameCube
Drakan: The Ancients' Gates, PlayStation 2
KUNAI, PC
Madden NFL 06, PC
Hearts of Iron: Platinum, PC
Armed and Dangerous, PC
Gladius, PlayStation 2
MLB Slugfest 20-04, PlayStation 2
Star Trek: Starfleet Command III, PC
Splashdown, Xbox
Star Wars: Jedi Starfighter, Xbox
NCAA College Football 2K2, Dreamcast
FIFA 07 Soccer, PC
Fortnite, PlayStation 4
Hand of Fate, PC
Mortal Kombat: Shaolin Monks, Xbox
Virtua Fighter 5 Ultimate Showdown, PlayStation 4
Vesper, PC
Yakuza 4 Remastered, PlayStation 4
Q.U.B.E. 2, Xbox One
Brass Tactics, PC
Heavy Rain & Beyond: Two Souls Collection, PlayStation 4
Call of Duty: Modern Warfare 3, PC
NHL 06, GameCube
RIGS: Mechanized Combat League, PlayStation 4
Star Wars: Republic Commando, PC
Penumbra: Black Plague, PC
Moving Out, Xbox One
Puzzle Quest: The Legend Returns, Switch
World Soccer Winning Eleven 9, PSP
DiRT 4, PC
Marvel's Guardians of the Galaxy: The Telltale Series, PC
Avernum 2: Crystal Souls, PC
Watch Dogs, Xbox One
Grand Theft Auto: Liberty City Stories, PlayStation 2
Resident Evil: Revelations, Switch
Elemental: Fallen Enchantress, PC
Crimson Gem Saga, PSP
Heavy Rain, PlayStation 4
What The Dub?!, PlayStation 4
Nelly Cootalot: The Fowl Fleet, Switch
Electronic Super Joy, Wii U
So Many Me, PC
MotoGP '07, Xbox 360
Wings of Prey, PC
Jupiter Hell, PC
Cladun: This is an RPG, PSP
NHL 2K7, Xbox 360
Pro Evolution Soccer 2012, Xbox 360
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King, PC
Tales of the Abyss, PlayStation 2
Baldur's Gate II: Enhanced Edition, PC
State of Decay, Xbox 360
Dynasty Tactics 2, PlayStation 2
Retro/Grade, PlayStation 3
Sonic & All-Stars Racing Transformed, Wii U
Under Night In-Birth Exe:Late[st], PlayStation 4
Fallout 4: Far Harbor, Xbox One
Sonic Colors, Wii
NHL 06, PlayStation 2
Far Cry Instincts Predator, Xbox 360
LEGO City Undercover, Switch
Skylanders Trap Team, Xbox One
The Sims 2: Open for Business, PC
PixelJunk Eden 2, Switch
A Fisherman's Tale, PC
Immortal Redneck, Xbox One
Disgaea 3: Absence of Detention, PlayStation Vita
AlphaBounce, DS
Fire Emblem: Radiant Dawn, Wii
Max Payne, Game Boy Advance
The Simpsons: Hit & Run, PlayStation 2
MLB 2003, PlayStation
Pokemon Stadium 2, Nintendo 64
NBA Live 2001, PC
Heavy Metal: F.A.K.K. 2, PC
Earth 2150, PC
StarLancer, PC
Bangai-O HD: Missile Fury, Xbox 360
Tropico 6, PC
GRID Autosport, PC
Dissidia 012: Duodecim Final Fantasy, PSP
Mega Man Zero Collection, DS
Sonic & Sega All-Stars Racing, DS
The Magic Obelisk, Wii
Pro Evolution Soccer 2010, PC
Lunar: Silver Star Story Complete, PlayStation
Remnant: From the Ashes - Subject 2923, PC
Trials of Mana, PC
Never Give Up, Switch
The Forest, PlayStation 4
My Brother Rabbit, Xbox One
ATOMIK: RunGunJumpGun, Switch
Disney Infinity 3.0 Edition, Xbox One
Greed Corp, PlayStation 3
The Legend of Heroes: Trails of Cold Steel II, PlayStation 4
Shakedown Hawaii, PlayStation 4
Call of Duty: Ghosts, Xbox One
The Walking Dead: Season Two Episode 4 - Amid the Ruins, PC
Call of Juarez: Bound in Blood, PC
Assassin's Creed Syndicate, Xbox One
Metal Slug Anthology, PSP
John Wick Hex, PlayStation 4
Hearthstone: Heroes of Warcraft - Curse of Naxxramas, PC
Rock Band Blitz, Xbox 360
Worms W.M.D, PlayStation 4
Oreshika: Tainted Bloodlines, PlayStation Vita
The Sims 2 Seasons, PC
The Textorcist: The Story of Ray Bibbia, PC
Darknet, PlayStation 4
Amnesia Collection, PlayStation 4
Life is Strange: Episode 2 - Out of Time, PlayStation 4
Kinect Nat Geo TV, Xbox 360
Joint Operations: Escalation, PC
Skylanders Trap Team, PlayStation 4
Charlie Murder, Xbox 360
Call of Duty: Ghosts, PlayStation 4
Viva Pinata, PC
EyeToy: Kinetic, PlayStation 2
Bejeweled Twist, PC
